id;category;label;plan_copy;dxf_x_mm;dxf_y_mm;dxf_layer;text_height_mm;source_entity;raw_text
restroom_generic_main_008;restroom_generic;WC ENTRÈH.;main;52096.37;33802.05;A-A-NTA-T2N;175.0;MTEXT;WC ENTRÈH.
restroom_anteroom_main_001;restroom_anteroom;FÖRRUM WC ENTRÈH.;main;51067.94;28332.4;A-A-NTA-T2N;175.0;MTEXT;FÖRRUM WC ENTRÈH.
entrance_hall_main_004;entrance_hall;ENTRÉH. DEL ÖSTER;main;60778.6;16472.35;A-A-NTA-T2N;175.0;MTEXT;ENTRÉH. DEL ÖSTER
entrance_hall_main_005;entrance_hall;ENTRÉH. DEL VÄSTER;main;59393.39;-20962.67;A-A-NTA-T2N;175.0;MTEXT;ENTRÉH. DEL VÄSTER
restroom_anteroom_main_002;restroom_anteroom;FÖRRUM WC K.ENTRÉ;main;72497.18;-30725.33;A-A-NTA-T2N;175.0;MTEXT;FÖRRUM WC K.ENTRÉ
entrance_main_main_004;entrance_main;KONGRESSENTRÉ;main;66271.86;-38192.23;A-A-NTA-T2N;175.0;MTEXT;KONGRESSENTRÉ
restroom_wheelchair_main_002;restroom_wheelchair;RWC ENTRÉHALL;main;46526.38;29614.65;A-A-NTA-T2N;175.0;MTEXT;RWC ENTRÉHALL
restroom_wheelchair_main_003;restroom_wheelchair;RWC K.ENTRÉ;main;74231.89;-24919.76;A-A-NTA-T2N;175.0;MTEXT;RWC K.ENTRÉ
restroom_anteroom_main_003;restroom_anteroom;FÖRRUM WC K.ENTRÉ;main;71653.65;-23861.54;A-A-NTA-T2N;175.0;MTEXT;FÖRRUM WC K.ENTRÉ
restroom_wheelchair_main_004;restroom_wheelchair;RWC;main;65861.85;-25223.67;A-A-NTA-T2N;175.0;MTEXT;RWC
restroom_generic_main_009;restroom_generic;WC K.ENTRÉ;main;75088.34;-32316.24;A-A-NTA-T2N;175.0;MTEXT;WC K.ENTRÉ
medical_main_001;medical;SJUKVÅRDSRUM;main;73493.45;13691.56;A-A-NTA-T2N;175.0;MTEXT;SJUKVÅRDSRUM
restroom_wheelchair_main_005;restroom_wheelchair;RWC;main;73891.36;11492.71;A-A-NTA-T2N;175.0;MTEXT;RWC
storage_main_023;storage;FÖRRÅD;main;73134.03;8809.31;A-A-NTA-T2N;175.0;MTEXT;FÖRRÅD
hall_main_015;hall;FOAJÉ;main;-30092.46;29163.99;A120-300;500.03;MTEXT;FOAJÉ
hall_duplicate_016;hall;FOAJÉ;duplicate;284103.74;20254.89;A120-300;500.03;MTEXT;FOAJÉ
storage_duplicate_024;storage;FÖRRÅD;duplicate;309902.07;31431.29;A120-300;500.03;MTEXT;FÖRRÅD
storage_duplicate_025;storage;FÖRRÅD;duplicate;315388.63;33072.02;A120-300;500.03;MTEXT;FÖRRÅD
storage_duplicate_026;storage;FÖRRÅD;duplicate;332518.7;31362.33;A120-300;500.03;MTEXT;FÖRRÅD
restroom_accessible_duplicate_005;restroom_accessible;HWC;duplicate;342722.44;27501.21;A120-300;500.03;MTEXT;HWC
storage_duplicate_027;storage;FÖRRÅD;duplicate;346115.41;21332.15;A120-300;500.03;MTEXT;FÖRRÅD
elevator_duplicate_015;elevator;HISS 5;duplicate;283003.08;27997.25;A120-300;500.03;MTEXT;HISS 5
stair_duplicate_015;stair;TRAPPA;duplicate;275527.43;34441.05;A120-300;500.03;MTEXT;TRAPPA
entrance_stand_duplicate_016;entrance_stand;LÄKTARENTRÉ K;duplicate;306533.36;24444.36;A-U-----T1-200;500.0;MTEXT;LÄKTARENTRÉ K
entrance_stand_duplicate_017;entrance_stand;LÄKTARENTRÉ M;duplicate;335792.88;25323.0;A-U-----T1-200;500.0;MTEXT;LÄKTARENTRÉ M
entrance_stand_duplicate_018;entrance_stand;LÄKTARENTRÉ L;duplicate;322181.13;29467.4;A-U-----T1-200;500.0;MTEXT;LÄKTARENTRÉ L
restroom_women_duplicate_008;restroom_women;DAMTOALETT;duplicate;295761.14;20489.62;A-U-----T1-200;500.0;MTEXT;DAMTOALETT
technical_duplicate_012;technical;ELC;duplicate;301191.36;27469.58;A-U-----T1-200;500.0;MTEXT;ELC
restroom_accessible_duplicate_006;restroom_accessible;HWC;duplicate;146119.0;-21325.17;A120-300;500.03;MTEXT;HWC
entrance_stand_duplicate_019;entrance_stand;LÄKTARENTRÉ M;duplicate;143940.79;-14395.6;A-U-----T1-200;500.0;MTEXT;LÄKTARENTRÉ M
entrance_stand_duplicate_020;entrance_stand;LÄKTARENTRÉ M;duplicate;167627.37;-14395.6;A-U-----T1-200;500.0;MTEXT;LÄKTARENTRÉ M
restroom_generic_main_010;restroom_generic;WC;main;45959.87;-9520.73;A120;175.0;MTEXT;WC
kiosk_main_008;kiosk;KIOSK 2:1;main;27573.16;70659.7;A-U-----T1-200;500.0;MTEXT;KIOSK 2:1
